chip,seeds,d_star,confirmed
n100,1,0.137183,True
n100,3,0.134811,False
n100,5,0.116061,False
n100,7,0.082131,True
n100,10,0.081931,True
n100,15,0.076072,True
n200,3,0.108077,False
n200,5,0.102218,False
n200,7,0.102671,True
n200,10,0.101998,False
n200,15,0.084141,True
n300,5,0.121921,True
n300,7,0.121848,True
