iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,542,266x3783,0,5,206.6
2,0.11249999999999999,0.15,0.11249999999999999,552,285x3863,0,5,208.6
3,0.11249999999999999,0.13124999999999998,0.13124999999999998,556,268x3961,1,5,203.6
4,0.11249999999999999,0.12187499999999998,0.12187499999999998,554,285x3771,1,5,208.1
5,0.11249999999999999,0.11718749999999999,0.11718749999999999,553,276x3560,1,10,257.3
6,0.11249999999999999,0.11484375,0.11484375,552,286x3904,1,10,290.8
7,0.11249999999999999,0.11367187499999999,0.11367187499999999,552,318x3850,1,10,256.8
8,0.11249999999999999,0.11308593749999998,0.11308593749999998,552,273x3920,1,10,280.6
9,0.11249999999999999,0.11279296874999999,0.11279296874999999,552,268x3796,1,10,292.8
10,0.11249999999999999,0.112646484375,0.112646484375,552,268x3791,1,10,256.7
11,0.11249999999999999,0.11257324218749999,0.11257324218749999,552,270x3834,1,10,245.7
