iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,435,261x2735,0,1,33.4
2,0.11249999999999999,0.15,0.11249999999999999,443,253x2509,0,1,29.3
3,0.13124999999999998,0.15,0.13124999999999998,446,245x2647,0,1,27.9
4,0.140625,0.15,0.140625,448,254x2569,0,1,27.9
5,0.140625,0.1453125,0.1453125,449,215x2542,1,3,50.1
6,0.140625,0.14296875,0.14296875,449,230x2493,1,3,48.2
7,0.140625,0.141796875,0.141796875,448,229x2550,1,3,28.1
8,0.140625,0.1412109375,0.1412109375,448,245x2588,1,3,35.1
9,0.140625,0.14091796875,0.14091796875,448,258x2700,1,3,11.4
10,0.140625,0.140771484375,0.140771484375,448,248x2596,1,3,2.8
11,0.140625,0.1406982421875,0.1406982421875,448,251x2378,1,3,40.9
