chip,d_star,side,hpwl,iterations,d_confirmed_minimum,confirm_steps,time_s,legal,note
n100,0.117307,448,293671.5,11,True,"[{'d': 0.117407, 'below': 0.117307, 'd_feas': True, 'below_infeas': False, 'below_results': [False, True, True]}, {'d': 0.117307, 'below': 0.117207, 'd_feas': True, 'below_infeas': True, 'below_results': [False, False, False]}]",12.33,True,ok
n200,0.108977,442,544534.5,11,True,"[{'d': 0.109277, 'below': 0.109177, 'd_feas': True, 'below_infeas': False, 'below_results': [False, True, True]}, {'d': 0.109177, 'below': 0.109077, 'd_feas': True, 'below_infeas': False, 'below_results': [False, True, False]}, {'d': 0.109077, 'below': 0.108977, 'd_feas': True, 'below_infeas': False, 'below_results': [False, True, True]}, {'d': 0.108977, 'below': 0.108877, 'd_feas': True, 'below_infeas': True, 'below_results': [False, False, False]}]",72.25,True,ok
n300,0.124885,555,826685.0,11,True,"[{'d': 0.124585, 'below': 0.124485, 'd_feas': True, 'below_infeas': False, 'below_results': [True, False, False]}, {'d': 0.124585, 'd_feas': False, 'note': 'up-shift'}, {'d': 0.124685, 'd_feas': False, 'note': 'up-shift'}, {'d': 0.124785, 'd_feas': False, 'note': 'up-shift'}, {'d': 0.124885, 'd_feas': False, 'note': 'up-shift'}, {'d': 0.124885, 'below': 0.124785, 'd_feas': True, 'below_infeas': True, 'below_results': [False, False, False]}]",567.06,True,ok
