chip,area,W,H,aspect,utilization,time_s,legal,note
n100,191555,421,455,1.0808,0.9371,0.85,True,ok
n200,184569,357,517,1.4482,0.9519,15.9,True,ok
n300,287226,486,591,1.216,0.9511,43.88,True,ok
