iter,lo,hi,mid,side,bbox,feasible,attempts,time_s
1,0.075,0.15,0.075,435,249x2504,0,1,88.6
2,0.075,0.11249999999999999,0.11249999999999999,443,228x2591,1,1,44.1
3,0.09375,0.11249999999999999,0.09375,439,254x2438,0,1,72.2
4,0.103125,0.11249999999999999,0.103125,441,264x2737,0,1,67.0
5,0.10781249999999999,0.11249999999999999,0.10781249999999999,442,262x2672,0,3,97.0
6,0.10781249999999999,0.11015624999999998,0.11015624999999998,442,247x2528,1,3,89.1
7,0.108984375,0.11015624999999998,0.108984375,442,260x2579,0,3,86.2
8,0.108984375,0.10957031249999999,0.10957031249999999,442,261x2777,1,3,84.0
9,0.108984375,0.10927734374999999,0.10927734374999999,442,264x2511,1,3,96.9
10,0.109130859375,0.10927734374999999,0.109130859375,442,264x2466,0,3,100.1
11,0.10920410156249999,0.10927734374999999,0.10920410156249999,442,247x2597,0,3,98.4
