tag,method,chip,seed,exit_code,peak_mem_mb,cpu_time_s,wall_s,hpwl,utilization,W,H,legal,overlap_pairs,outline_violations,verify_msg,note
sp_sa_n100_s0,sp_sa,n100,20260808,0,2.0,4.91,,275379.0,0.8964,451,444,True,0,0,ok,
sp_sa_n100_s1,sp_sa,n100,20260809,0,2.0,1.89,,313916.5,0.869,454,455,True,0,0,ok,
sp_sa_n100_s2,sp_sa,n100,20260810,0,2.0,5.87,,272768.0,0.9024,448,444,True,0,0,ok,
sp_sa_n100_s3,sp_sa,n100,20260811,0,2.0,8.03,,263745.5,0.8984,449,445,True,0,0,ok,
sp_sa_n100_s4,sp_sa,n100,20260812,0,2.0,3.59,,274542.5,0.9024,449,443,True,0,0,ok,
sp_sa_n100_s5,sp_sa,n100,20260813,0,2.0,9.12,,259291.0,0.9006,453,440,True,0,0,ok,
sp_sa_n100_s6,sp_sa,n100,20260814,0,2.0,2.89,,274004.5,0.8825,450,452,True,0,0,ok,
sp_sa_n100_s7,sp_sa,n100,20260815,0,2.0,3.08,,270561.5,0.9045,442,449,True,0,0,ok,
sp_sa_n100_s8,sp_sa,n100,20260816,0,2.0,2.56,,255865.5,0.8885,445,454,True,0,0,ok,
sp_sa_n100_s9,sp_sa,n100,20260817,0,2.0,2.99,,302425.5,0.869,454,455,True,0,0,ok,
sp_sa_n200_s0,sp_sa,n200,20260808,0,2.0,44.53,,553630.0,0.8676,450,450,True,0,0,ok,
sp_sa_n200_s1,sp_sa,n200,20260809,0,2.0,34.25,,575090.5,0.8676,450,450,True,0,0,ok,
sp_sa_n200_s2,sp_sa,n200,20260810,0,2.0,41.34,,561016.5,0.8676,450,450,True,0,0,ok,
sp_sa_n200_s3,sp_sa,n200,20260811,0,2.0,45.56,,580564.5,0.8676,450,450,True,0,0,ok,
sp_sa_n200_s4,sp_sa,n200,20260812,0,2.0,45.45,,483758.0,0.8833,449,443,True,0,0,ok,
sp_sa_n200_s5,sp_sa,n200,20260813,0,2.0,39.24,,473257.0,0.8913,446,442,True,0,0,ok,
sp_sa_n200_s6,sp_sa,n200,20260814,0,2.0,45.86,,466329.5,0.8813,447,446,True,0,0,ok,
sp_sa_n200_s7,sp_sa,n200,20260815,0,2.0,40.27,,571974.0,0.8696,450,449,True,0,0,ok,
sp_sa_n200_s8,sp_sa,n200,20260816,0,2.0,38.44,,476217.5,0.8735,450,447,True,0,0,ok,
sp_sa_n200_s9,sp_sa,n200,20260817,0,2.0,104.43,,562691.5,0.8676,450,450,True,0,0,ok,
sp_sa_n300_s0,sp_sa,n300,20260808,0,2.0,73.7,,845681.5,0.868,561,561,True,0,0,ok,
sp_sa_n300_s1,sp_sa,n300,20260809,0,2.0,83.49,,855425.5,0.868,561,561,True,0,0,ok,
sp_sa_n300_s2,sp_sa,n300,20260810,0,2.0,67.93,,854784.5,0.8695,560,561,True,0,0,ok,
sp_sa_n300_s3,sp_sa,n300,20260811,0,2.0,65.95,,839205.5,0.868,561,561,True,0,0,ok,
sp_sa_n300_s4,sp_sa,n300,20260812,0,2.0,94.65,,861770.5,0.868,561,561,True,0,0,ok,
sp_sa_n300_s5,sp_sa,n300,20260813,0,2.0,101.85,,847936.0,0.868,561,561,True,0,0,ok,
sp_sa_n300_s6,sp_sa,n300,20260814,0,2.0,85.08,,838350.5,0.868,561,561,True,0,0,ok,
sp_sa_n300_s7,sp_sa,n300,20260815,0,2.0,89.75,,846630.5,0.868,561,561,True,0,0,ok,
sp_sa_n300_s8,sp_sa,n300,20260816,0,2.0,63.45,,697619.5,0.8758,559,558,True,0,0,ok,
sp_sa_n300_s9,sp_sa,n300,20260817,0,2.0,82.97,,835280.0,0.868,561,561,True,0,0,ok,
